### Graph based on Mycielski transformation. 
### Triangle free (clique number 2) but increasing coloring number
### Graph (191,2360)

param n := 191; 
param quadcostlevel := 0.01;
param linear_cost1 := 0.1;
param linear_cost2 := 0.1;

########Cost matrices and vectors##########

for {i in V}
    for{j in V}
        {let Q1[i,j] := 0; let Q2[i,j] := 0;
        if (i==j) then {let Q1[i,j]:=quadcostlevel*4; let Q2_fix[i,j]:= quadcostlevel;}
        else {if(j==i+1 or j==i-1) then {let Q1[i,j]:=-quadcostlevel; let Q2_fix[i,j]:=-quadcostlevel;}}
        }

for {i in V}
    {let q1[i] := linear_cost1; let q2_fix[i] := linear_cost2;}

#######Adjacency matrix########
for {i in V}
    for{j in V}
        let M[i,j] :=0;
let M[95,166] :=1;
let M[95,167] :=1;
let M[95,168] :=1;
let M[95,169] :=1;
let M[95,170] :=1;
let M[95,171] :=1;
let M[95,172] :=1;
let M[95,173] :=1;
let M[95,174] :=1;
let M[95,175] :=1;
let M[95,176] :=1;
let M[95,177] :=1;
let M[95,178] :=1;
let M[95,179] :=1;
let M[95,180] :=1;
let M[95,181] :=1;
let M[95,182] :=1;
let M[95,183] :=1;
let M[95,184] :=1;
let M[95,185] :=1;
let M[95,186] :=1;
let M[95,187] :=1;
let M[95,188] :=1;
let M[95,189] :=1;
let M[96,191] :=1;
let M[97,191] :=1;
let M[98,191] :=1;
let M[99,191] :=1;
let M[100,191] :=1;
let M[101,191] :=1;
let M[102,191] :=1;
let M[103,191] :=1;
let M[104,191] :=1;
let M[105,191] :=1;
let M[106,191] :=1;
let M[107,191] :=1;
let M[108,191] :=1;
let M[109,191] :=1;
let M[110,191] :=1;
let M[111,191] :=1;
let M[112,191] :=1;
let M[113,191] :=1;
let M[114,191] :=1;
let M[115,191] :=1;
let M[116,191] :=1;
let M[117,191] :=1;
let M[118,191] :=1;
let M[119,191] :=1;
let M[120,191] :=1;
let M[121,191] :=1;
let M[122,191] :=1;
let M[123,191] :=1;
let M[124,191] :=1;
let M[125,191] :=1;
let M[126,191] :=1;
let M[127,191] :=1;
let M[128,191] :=1;
let M[129,191] :=1;
let M[130,191] :=1;
let M[131,191] :=1;
let M[132,191] :=1;
let M[133,191] :=1;
let M[134,191] :=1;
let M[135,191] :=1;
let M[136,191] :=1;
let M[137,191] :=1;
let M[138,191] :=1;
let M[139,191] :=1;
let M[140,191] :=1;
let M[141,191] :=1;
let M[142,191] :=1;
let M[143,191] :=1;
let M[144,191] :=1;
let M[145,191] :=1;
let M[146,191] :=1;
let M[147,191] :=1;
let M[148,191] :=1;
let M[149,191] :=1;
let M[150,191] :=1;
let M[151,191] :=1;
let M[152,191] :=1;
let M[153,191] :=1;
let M[154,191] :=1;
let M[155,191] :=1;
let M[156,191] :=1;
let M[157,191] :=1;
let M[158,191] :=1;
let M[159,191] :=1;
let M[160,191] :=1;
let M[161,191] :=1;
let M[162,191] :=1;
let M[163,191] :=1;
let M[164,191] :=1;
let M[165,191] :=1;
let M[166,191] :=1;
let M[167,191] :=1;
let M[168,191] :=1;
let M[169,191] :=1;
let M[170,191] :=1;
let M[171,191] :=1;
let M[172,191] :=1;
let M[173,191] :=1;
let M[174,191] :=1;
let M[175,191] :=1;
let M[176,191] :=1;
let M[177,191] :=1;
let M[178,191] :=1;
let M[179,191] :=1;
let M[180,191] :=1;
let M[181,191] :=1;
let M[182,191] :=1;
let M[183,191] :=1;
let M[184,191] :=1;
let M[185,191] :=1;
let M[186,191] :=1;
let M[187,191] :=1;
let M[188,191] :=1;
let M[189,191] :=1;
let M[190,191] :=1;
